macrozona,var,n,cero,pos,porc_cero,porc_pos,mean_pos,med_pos,p95_pos,max_pos
All,act_fijo,71515,47182,24333,65.97497028595399,34.025029714046006,8261121.192619077,2000000.0,38000000.0,384000000.0
Centro,act_fijo,42758,28706,14052,67.13597455446933,32.86402544553066,8438232.305365784,2000000.0,40000000.0,360000000.0
Sur,act_fijo,28757,18476,10281,64.24870466321244,35.751295336787564,8019046.9433907205,2000000.0,34000000.0,384000000.0
All,act_var,71628,63333,8295,88.41933322164518,11.580666778354834,24832469.177576855,5000000.0,60000000.0,1100000000.0
Centro,act_var,42829,37789,5040,88.23227252562515,11.767727474374839,27145433.649206348,6000000.0,60000000.0,1080000000.0
Sur,act_var,28799,25544,3255,88.69752421959096,11.302475780409042,21251104.834408604,4000000.0,55000000.0,1100000000.0
All,cap_pen_ent,71476,41261,30215,57.72706922603391,42.27293077396609,21652557.838391528,12000000.0,87000000.0,380000000.0
Centro,cap_pen_ent,42735,25389,17346,59.41031941031941,40.58968058968059,20524605.68759368,11000000.0,80000000.0,380000000.0
Sur,cap_pen_ent,28741,15872,12869,55.22424411120003,44.77575588879997,23172913.577589557,12000000.0,100000000.0,350000000.0
All,edad_pr,71703,0,71703,0.0,100.0,51.543450064850845,50.0,79.0,99.0
Centro,edad_pr,42873,0,42873,0.0,100.0,51.642805495300074,51.0,80.0,95.0
Sur,edad_pr,28830,0,28830,0.0,100.0,51.395698924731185,50.0,78.0,99.0
All,hr_trabajadas_pr,71657,18259,53398,25.481111405724494,74.51888859427551,42.74675081463725,45.0,60.0,114.0
Centro,hr_trabajadas_pr,42849,11439,31410,26.69607225372821,73.3039277462718,42.73349251830627,45.0,65.0,114.0
Sur,hr_trabajadas_pr,28808,6820,21988,23.673979450152736,76.32602054984726,42.76569037656904,45.0,60.0,100.0
All,yoprinm_pr,71544,18259,53285,25.521357486302136,74.47864251369786,1014659.3932784057,600000.0,3000000.0,12056550.0
Centro,yoprinm_pr,42773,11439,31334,26.74350641759989,73.25649358240011,1000935.9147856811,600000.0,3000001.0,12056550.0
Sur,yoprinm_pr,28771,6820,21951,23.704424594209446,76.29557540579054,1034249.0008175168,700000.0,3000000.0,7524781.0
All,ypenh,71618,45167,26451,63.0665475159876,36.9334524840124,367776.3756783622,250000.0,1000000.0,6500000.0
Centro,ypenh,42808,26381,16427,61.62633152681741,38.37366847318258,379304.55740513426,250000.0,1090717.849999999,6500000.0
Sur,ypenh,28810,18786,10024,65.20652551197502,34.79347448802499,348884.3723637489,240000.0,1000000.0,5500000.0
All,ysubh,71601,24862,46739,34.72297872934735,65.27702127065265,314409.5010210875,287000.0,580000.0,1689000.0
Centro,ysubh,42802,15066,27736,35.19928975281529,64.80071024718471,321406.73817051266,290000.0,601000.0,1689000.0
Sur,ysubh,28799,9796,19003,34.01506996770721,65.9849300322928,304196.62044557545,287000.0,545500.0,1180000.0
