Fold,Modelo,AUC,Precision,Sensibilidad,Especificidad
1,LR Ridge (splines) (Group-CV),0.6852835974557641,0.6942436040044494,0.9038422025888638,0.25548387096774194
2,LR Ridge (splines) (Group-CV),0.6460653738171186,0.6846809104873621,0.9367166632422437,0.14995640802092414
3,LR Ridge (splines) (Group-CV),0.7260303425969499,0.6978587319243604,0.9178138483665502,0.23741935483870968
4,LR Ridge (splines) (Group-CV),0.7343435160207763,0.717880978865406,0.9607561125950277,0.20946236559139786
5,LR Ridge (splines) (Group-CV),0.6702792985659162,0.6996229576874738,0.8826792685432505,0.3112467306015693
6,LR Ridge (splines) (Group-CV),0.6342113470270844,0.6649909230554392,0.8800082186151633,0.2088055797733217
7,LR Ridge (splines) (Group-CV),0.6278866139215961,0.6587068845133361,0.8479556194781179,0.25719267654751526
8,LR Ridge (splines) (Group-CV),0.6809151324087332,0.6930596285434996,0.8761043764125744,0.3047079337401918
9,LR Ridge (splines) (Group-CV),0.6584017158060915,0.6774193548387096,0.9038422025888638,0.1970357454228422
10,LR Ridge (splines) (Group-CV),0.7115867068378054,0.6849602010892334,0.8919252106020136,0.24585876198779424
1,MLP seleccionadas (Group-CV),0.6009477035377604,0.6313959955506118,0.7511814259297308,0.38064516129032255
2,MLP seleccionadas (Group-CV),0.5599875610148879,0.5953079178885631,0.7409081569755496,0.2863993025283348
3,MLP seleccionadas (Group-CV),0.5854096162216021,0.6244438264738599,0.7304294226422847,0.40258064516129033
4,MLP seleccionadas (Group-CV),0.5589654265836851,0.6056729699666296,0.7478939798643929,0.30795698924731185
5,MLP seleccionadas (Group-CV),0.5346966000047649,0.561932690964949,0.6624203821656051,0.34873583260680036
6,MLP seleccionadas (Group-CV),0.6050062436754908,0.6334310850439883,0.7026915964659954,0.4864864864864865
7,MLP seleccionadas (Group-CV),0.5286527024250468,0.5696131825164084,0.6470104787343333,0.40540540540540543
8,MLP seleccionadas (Group-CV),0.6070938579107485,0.6024298282362799,0.6998150811588247,0.3958151700087184
9,MLP seleccionadas (Group-CV),0.546991741438211,0.6052227342549923,0.7591945757139922,0.2785527462946818
10,MLP seleccionadas (Group-CV),0.6483674996403908,0.6408322859935763,0.7994657900143826,0.3042720139494333
